Occupation,Hierarchy Levels,variable,value
 Miscellaneous personal care and service workers ,2,Contact with objects and equipment,0
 Cashiers ,2,Contact with objects and equipment,0
 Cashiers ,3,Contact with objects and equipment,0
 Counter and rental clerks and parts salespersons ,2,Contact with objects and equipment,0
 Parts salespersons ,3,Contact with objects and equipment,0
" Sales representatives, services ",1,Contact with objects and equipment,0
 Insurance sales agents ,2,Contact with objects and equipment,0
 Insurance sales agents ,3,Contact with objects and equipment,0
" Miscellaneous sales representatives, services ",2,Contact with objects and equipment,0
" Sales representatives, wholesale and manufacturing ",1,Contact with objects and equipment,0
" Sales representatives, wholesale and manufacturing ",2,Contact with objects and equipment,0
" Sales representatives, wholesale and manufacturing, except technical and scientific products ",3,Contact with objects and equipment,0
 Other sales and related workers ,1,Contact with objects and equipment,0
 Real estate brokers and sales agents ,2,Contact with objects and equipment,0
 Real estate sales agents ,3,Contact with objects and equipment,0
 Sales engineers ,2,Contact with objects and equipment,0
 Sales engineers ,3,Contact with objects and equipment,0
 Miscellaneous sales and related workers ,2,Contact with objects and equipment,0
" Door-to-door sales workers, news and street vendors, and related workers ",3,Contact with objects and equipment,0
 Supervisors of office and administrative support workers ,1,Contact with objects and equipment,0
 First-line supervisors of office and administrative support workers ,2,Contact with objects and equipment,0
 First-line supervisors of office and administrative support workers ,3,Contact with objects and equipment,0
 Financial clerks ,1,Contact with objects and equipment,0
 Bill and account collectors ,2,Contact with objects and equipment,0
 Bill and account collectors ,3,Contact with objects and equipment,0
 Billing and posting clerks ,2,Contact with objects and equipment,0
 Billing and posting clerks ,3,Contact with objects and equipment,0
 Information and record clerks ,1,Contact with objects and equipment,0
" Hotel, motel, and resort desk clerks ",2,Contact with objects and equipment,0
" Hotel, motel, and resort desk clerks ",3,Contact with objects and equipment,0
" Interviewers, except eligibility and loan ",2,Contact with objects and equipment,0
" Interviewers, except eligibility and loan ",3,Contact with objects and equipment,0
 Receptionists and information clerks ,2,Contact with objects and equipment,0
 Receptionists and information clerks ,3,Contact with objects and equipment,0
 Couriers and messengers ,2,Contact with objects and equipment,0
 Couriers and messengers ,3,Contact with objects and equipment,0
 Dispatchers ,2,Contact with objects and equipment,0
" Dispatchers, except police, fire, and ambulance ",3,Contact with objects and equipment,0
 Postal service clerks ,3,Contact with objects and equipment,0
" Shipping, receiving, and traffic clerks ",2,Contact with objects and equipment,0
" Shipping, receiving, and traffic clerks ",3,Contact with objects and equipment,0
 Stock clerks and order fillers ,2,Contact with objects and equipment,0
 Stock clerks and order fillers ,3,Contact with objects and equipment,0
 Secretaries and administrative assistants ,1,Contact with objects and equipment,0
 Secretaries and administrative assistants ,2,Contact with objects and equipment,0
" Secretaries and administrative assistants, except legal, medical, and executive ",3,Contact with objects and equipment,0
" Graders and sorters, agricultural products ",2,Contact with objects and equipment,0
" Graders and sorters, agricultural products ",3,Contact with objects and equipment,0
 Fishers and related fishing workers ,2,Contact with objects and equipment,0
 Fishers and related fishing workers ,3,Contact with objects and equipment,0
 Boilermakers ,2,Contact with objects and equipment,0
 Boilermakers ,3,Contact with objects and equipment,0
" Brickmasons, blockmasons, and stonemasons ",2,Contact with objects and equipment,0
 Brickmasons and blockmasons ,3,Contact with objects and equipment,0
" Carpet, floor, and tile installers and finishers ",2,Contact with objects and equipment,0
" Floor layers, except carpet, wood, and hard tiles ",3,Contact with objects and equipment,0
 Floor sanders and finishers ,3,Contact with objects and equipment,0
 Tile and marble setters ,3,Contact with objects and equipment,0
" Cement masons, concrete finishers, and terrazzo workers ",2,Contact with objects and equipment,0
 Cement masons and concrete finishers ,3,Contact with objects and equipment,0
" Paving, surfacing, and tamping equipment operators ",3,Contact with objects and equipment,0
 Pile-driver operators ,3,Contact with objects and equipment,0
 Insulation workers ,2,Contact with objects and equipment,0
" Insulation workers, floor, ceiling, and wall ",3,Contact with objects and equipment,0
 Reinforcing iron and rebar workers ,2,Contact with objects and equipment,0
 Reinforcing iron and rebar workers ,3,Contact with objects and equipment,0
 Roofers ,2,Contact with objects and equipment,0
 Roofers ,3,Contact with objects and equipment,0
 Solar photovoltaic installers ,2,Contact with objects and equipment,0
 Solar photovoltaic installers ,3,Contact with objects and equipment,0
" Helpers, construction trades ",1,Contact with objects and equipment,0
" Helpers, construction trades ",2,Contact with objects and equipment,0
 Helpers--roofers ,3,Contact with objects and equipment,0
 Construction and building inspectors ,2,Contact with objects and equipment,0
 Construction and building inspectors ,3,Contact with objects and equipment,0
 Fence erectors ,2,Contact with objects and equipment,0
 Fence erectors ,3,Contact with objects and equipment,0
 Hazardous materials removal workers ,2,Contact with objects and equipment,0
 Hazardous materials removal workers ,3,Contact with objects and equipment,0
 Highway maintenance workers ,2,Contact with objects and equipment,0
 Highway maintenance workers ,3,Contact with objects and equipment,0
 Miscellaneous construction and related workers ,2,Contact with objects and equipment,0
" Derrick operators, oil and gas ",3,Contact with objects and equipment,0
" Rotary drill operators, oil and gas ",3,Contact with objects and equipment,0
" Service unit operators, oil, gas, and mining ",3,Contact with objects and equipment,0
 Miscellaneous extraction workers ,2,Contact with objects and equipment,0
" Electrical and electronic equipment mechanics, installers, and repairers ",1,Contact with objects and equipment,0
 Radio and telecommunications equipment installers and repairers ,2,Contact with objects and equipment,0
" Radio, cellular, and tower equipment installers and repairers ",3,Contact with objects and equipment,0
